total error;
-18;580;
-17;626;
-16;726;
-15;767;
-14;738;
-13;843;
-12;829;
-11;822;
-10;837;
-9;893;
-8;898;
-7;880;
-6;969;
-5;933;
-4;897;
-3;944;
-2;1009;
-1;935;
0;1981;
1;1021;
2;1015;
3;917;
4;992;
5;1103;
6;1135;
7;1140;
8;1219;
9;1266;
10;1188;
11;1120;
12;895;
13;916;
14;881;
15;851;
16;975;
17;888;
18;842;
19;824;
20;645;
21;483;
22;649;
23;755;
24;750;
25;551;
26;625;
27;612;
28;491;
29;416;
30;392;
31;364;
32;318;
33;330;
34;271;
35;253;
36;223;
37;228;
38;215;
39;210;
40;175;
41;161;
42;151;
43;152;
44;184;
45;172;
46;151;
47;152;
48;156;
49;142;
50;146;
51;143;
52;154;
53;153;
54;151;
55;187;
56;161;
57;136;
58;139;
59;144;
60;170;
61;158;
62;138;
63;168;
64;164;
65;184;
66;119;
67;159;
68;148;
69;146;
70;126;
71;125;
72;126;
73;127;
74;129;
75;133;
76;129;
77;107;
78;140;
79;88;
80;130;
81;118;
82;114;
83;104;
84;132;
85;113;
86;146;
87;122;
88;113;
89;136;
90;146;
91;122;
92;95;
93;105;
94;100;
95;96;
96;64;
97;66;
98;64;
99;76;
100;70;
101;72;
102;86;
103;84;
104;77;
105;82;
106;79;
107;84;
108;89;
109;71;
110;89;
111;66;
112;47;
113;66;
114;55;
115;65;
116;59;
117;51;
118;47;
119;46;
120;39;
121;48;
122;41;
123;57;
124;41;
125;20;
126;40;
127;41;
128;41;
129;44;
130;35;
131;30;
132;17;
133;29;
134;22;
135;21;
136;22;
137;17;
138;23;
139;12;
140;16;
141;26;
142;14;
143;18;
144;12;
145;20;
146;10;
147;10;
148;20;
149;8;
150;12;
151;7;
152;14;
153;9;
154;25;
155;17;
156;6;
157;6;
158;11;
159;7;
160;10;
161;5;
162;4;
163;2;
164;3;
165;5;
166;8;
167;8;
168;4;
169;4;
170;5;
171;5;
172;2;
173;3;
174;6;
175;5;
176;2;
177;6;
178;6;
179;10;
180;0;
181;2;
182;3;
183;1;
184;4;
185;0;
186;5;
187;2;
188;2;
189;5;
190;1;
191;2;
192;5;
193;4;
194;1;
195;4;
196;2;
197;2;
198;1;
199;2;
200;1;
201;3;
202;3;
203;3;
204;4;
205;2;
206;4;
207;7;
208;3;
209;2;
210;3;
211;5;
212;7;
213;9;
214;4;
215;2;
216;8;
217;5;
218;7;
219;3;
220;4;
221;10;
222;4;
223;5;
224;5;
225;10;
226;7;
227;4;
228;5;
229;5;
230;3;
231;6;
232;12;
233;15;
234;6;
235;2;
236;7;
237;10;
238;0;
239;7;
240;2;
241;2;
242;1;
243;3;
244;2;
245;3;
246;3;
247;7;
248;7;
249;0;
250;1;
251;5;
252;0;
253;0;
254;0;
255;2;
256;2;
257;0;
258;0;
259;0;
260;0;
261;1;
262;1;
263;0;
264;1;
265;0;
266;1;
267;0;
268;1;
269;1;
270;1;
271;0;
272;0;
273;0;
274;0;
275;0;
276;2;
277;0;
278;1;
279;2;
280;2;
281;0;
282;0;
283;0;
284;0;
285;0;
286;0;
287;0;
288;0;
289;0;
290;0;
291;2;
292;0;
293;0;
294;0;
295;0;
296;0;
297;0;
298;0;
299;0;
300;2;
301;1;
302;0;
303;1;
304;0;
305;2;
306;3;
307;0;
308;0;
309;0;
310;0;
311;0;
312;0;
313;0;
314;0;
315;0;
316;1;
317;3;
318;0;
319;0;
320;3;
321;0;
322;1;
323;0;
324;1;
325;0;
326;1;
327;0;
328;1;
329;1;
330;0;
331;1;
332;0;
333;0;
334;0;
335;2;
336;0;
337;3;
338;0;
339;0;
340;2;
341;0;
342;0;
343;0;
344;2;
345;0;
346;0;
347;1;
348;0;
349;0;
350;0;
351;0;
352;0;
353;1;
354;0;
355;2;
356;0;
357;0;
358;1;
359;0;
360;0;
361;2;
362;0;
363;1;
364;0;
365;0;
366;0;
367;0;
368;0;
369;0;
370;1;
371;1;
372;0;
373;1;
374;0;
375;0;
376;1;
377;0;
378;0;
379;0;
380;0;
381;1;
382;1;
383;0;
384;1;
385;0;
386;0;
387;0;
388;0;
389;0;
390;2;
391;2;
392;0;
393;0;
394;0;
395;0;
396;0;
397;0;
398;0;
399;2;
400;2;
401;1;
402;0;
403;0;
404;0;
405;0;
406;0;
407;1;
408;0;
409;0;
410;0;
411;0;
412;0;
413;0;
414;0;
415;0;
416;1;
417;0;
418;0;
419;0;
420;0;
421;0;
422;0;
423;0;
424;1;
425;0;
426;0;
427;0;
428;0;
429;0;
430;1;
431;0;
432;0;
433;0;
434;0;
435;0;
436;0;
437;0;
438;0;
439;1;
440;0;
441;0;
442;0;
443;0;
444;0;
445;0;
446;0;
447;0;
448;0;
449;0;
450;0;
451;0;
452;0;
453;0;
454;0;
455;0;
456;0;
457;0;
458;0;
459;0;
460;0;
461;0;
462;0;
463;0;
464;0;
465;0;
466;0;
467;0;
468;0;
469;0;
470;0;
471;0;
472;0;
473;0;
474;0;
475;0;
476;0;
477;0;
478;0;
479;0;
480;0;
481;0;
482;0;
483;0;
484;0;
485;0;
486;0;
487;0;
488;0;
489;0;
490;0;
491;0;
492;0;
493;0;
494;0;
495;0;
496;0;
497;0;
498;0;
499;0;
500;0;
501;0;
502;0;
503;0;
504;0;
505;0;
506;0;
507;0;
508;0;
509;0;
510;0;
511;1;
512;0;
513;0;
514;1;
515;0;
516;0;
517;0;
518;0;
519;0;
520;0;
521;0;
522;1;
523;0;
524;0;
525;0;
526;1;
527;0;
528;0;
529;0;
530;0;
531;0;
532;0;
533;0;
534;0;
535;0;
536;0;
537;0;
538;0;
539;0;
540;0;
541;0;
542;0;
543;0;
544;0;
545;0;
546;0;
547;0;
548;0;
549;0;
550;0;
551;0;
552;0;
553;0;
554;0;
555;0;
556;0;
557;0;
558;0;
559;0;
560;0;
561;0;
562;0;
563;0;
564;0;
565;0;
566;0;
567;0;
568;0;
569;0;
570;0;
571;0;
572;0;
573;0;
574;0;
575;0;
576;0;
577;0;
578;0;
579;0;
580;0;
581;0;
582;0;
583;0;
584;0;
585;0;
586;0;
587;0;
588;0;
589;0;
590;1;
591;0;
592;0;
593;0;
594;0;
595;0;
596;0;
597;0;
598;0;
599;0;
600;0;
601;0;
602;0;
603;0;
604;0;
605;0;
606;0;
607;0;
608;1;
609;0;
610;0;
611;0;
612;0;
613;0;
614;0;
615;0;
616;0;
617;0;
618;0;
619;0;
620;0;
621;0;
622;0;
623;0;
624;0;
625;0;
626;0;
627;0;
628;0;
629;0;
630;0;
631;0;
632;0;
633;0;
634;0;
635;0;
636;0;
637;0;
638;1;
639;0;
640;0;
641;0;
642;0;
643;0;
644;0;
645;0;
646;0;
647;0;
648;0;
649;0;
650;0;
651;0;
652;0;
653;0;
654;0;
655;0;
656;0;
657;0;
658;0;
659;1;
660;0;
661;0;
662;0;
663;1;
664;0;
665;0;
666;0;
667;0;
668;0;
669;0;
670;0;
671;0;
672;0;
673;0;
674;0;
675;0;
676;0;
677;0;
678;0;
679;0;
680;0;
681;0;
682;1;
683;1;
684;0;
685;1;
686;0;
687;0;
688;0;
689;0;
690;0;
691;0;
692;0;
693;0;
694;0;
695;0;
696;0;
697;0;
698;0;
699;0;
700;0;
701;0;
702;0;
703;0;
704;0;
705;0;
706;0;
707;0;
708;0;
709;0;
710;0;
711;0;
712;0;
713;0;
714;0;
715;0;
716;1;
717;0;
718;0;
719;0;
720;0;
721;0;
722;0;
723;0;
724;0;
725;0;
726;0;
727;0;
728;0;
729;0;
730;0;
731;0;
732;0;
733;0;
734;0;
735;0;
736;0;
737;0;
738;0;
739;0;
740;0;
741;0;
742;0;
743;0;
744;0;
745;0;
746;0;
747;0;
748;0;
749;1;
750;0;
751;0;
752;0;
753;0;
754;0;
755;0;
756;0;
757;0;
758;0;
759;0;
760;0;
761;0;
762;0;
763;0;
764;0;
765;0;
766;0;
767;0;
768;0;
769;0;
770;0;
771;0;
772;1;
773;0;
774;0;
775;0;
776;0;
777;0;
778;0;
779;0;
780;0;
781;0;
782;0;
783;0;
784;0;
785;0;
786;0;
787;0;
788;0;
789;0;
790;0;
791;0;
792;0;
793;0;
794;0;
795;0;
796;0;
797;0;
798;0;
799;0;
800;0;
801;0;
802;0;
803;0;
804;0;
805;0;
806;0;
807;0;
808;0;
809;0;
810;0;
811;0;
812;1;
813;0;
814;0;
815;0;
816;0;
817;0;
818;0;
819;0;
820;0;
821;0;
822;0;
823;0;
824;0;
825;0;
826;0;
827;0;
828;0;
829;0;
830;0;
831;0;
832;0;
833;0;
834;0;
835;0;
836;0;
837;0;
838;0;
839;0;
840;1;
841;0;
842;0;
843;0;
844;0;
845;1;
846;0;
847;0;
848;0;
849;0;
850;0;
851;0;
852;0;
853;0;
854;0;
855;0;
856;0;
857;0;
858;0;
859;0;
860;0;
861;0;
862;0;
863;0;
864;0;
865;0;
866;0;
867;0;
868;0;
869;0;
870;0;
871;0;
872;0;
873;0;
874;0;
875;0;
876;0;
877;0;
878;0;
879;0;
880;0;
881;0;
882;0;
883;0;
884;0;
885;0;
886;0;
887;0;
888;0;
889;0;
890;0;
891;0;
892;0;
893;0;
894;0;
895;0;
896;0;
897;0;
898;0;
899;1;
900;0;
901;0;
902;1;
903;0;
904;0;
905;0;
906;0;
907;0;
908;0;
909;0;
910;0;
911;0;
912;0;
913;0;
914;0;
915;0;
916;0;
917;0;
918;0;
919;0;
920;0;
921;0;
922;1;
