total error;
-18;335;
-17;463;
-16;461;
-15;611;
-14;741;
-13;1002;
-12;890;
-11;923;
-10;919;
-9;768;
-8;927;
-7;893;
-6;994;
-5;1131;
-4;1313;
-3;1569;
-2;1857;
-1;1986;
0;5333;
1;2160;
2;1503;
3;1357;
4;1213;
5;1418;
6;1373;
7;1211;
8;1159;
9;1010;
10;1084;
11;1174;
12;1042;
13;925;
14;792;
15;729;
16;681;
17;552;
18;523;
19;373;
20;344;
21;462;
22;441;
23;367;
24;382;
25;364;
26;433;
27;309;
28;256;
29;268;
30;247;
31;246;
32;246;
33;216;
34;180;
35;142;
36;125;
37;135;
38;119;
39;110;
40;99;
41;108;
42;110;
43;74;
44;97;
45;90;
46;100;
47;69;
48;65;
49;53;
50;44;
51;58;
52;62;
53;61;
54;57;
55;54;
56;55;
57;36;
58;29;
59;26;
60;49;
61;40;
62;37;
63;36;
64;47;
65;58;
66;40;
67;40;
68;34;
69;39;
70;35;
71;26;
72;23;
73;20;
74;22;
75;30;
76;28;
77;19;
78;20;
79;29;
80;30;
81;23;
82;28;
83;37;
84;20;
85;28;
86;20;
87;49;
88;51;
89;49;
90;37;
91;46;
92;42;
93;60;
94;58;
95;52;
96;46;
97;25;
98;30;
99;43;
100;35;
101;23;
102;38;
103;27;
104;37;
105;22;
106;30;
107;24;
108;29;
109;38;
110;35;
111;34;
112;28;
113;36;
114;29;
115;27;
116;31;
117;24;
118;8;
119;24;
120;21;
121;14;
122;10;
123;13;
124;18;
125;13;
126;21;
127;14;
128;8;
129;14;
130;10;
131;10;
132;13;
133;15;
134;13;
135;17;
136;14;
137;7;
138;21;
139;6;
140;17;
141;24;
142;5;
143;16;
144;11;
145;8;
146;11;
147;14;
148;11;
149;7;
150;7;
151;7;
152;6;
153;10;
154;15;
155;5;
156;3;
157;6;
158;10;
159;6;
160;6;
161;2;
162;6;
163;2;
164;4;
165;1;
166;6;
167;8;
168;1;
169;1;
170;1;
171;4;
172;3;
173;4;
174;3;
175;6;
176;3;
177;2;
178;6;
179;4;
180;3;
181;0;
182;0;
183;7;
184;4;
185;4;
186;3;
187;2;
188;5;
189;1;
190;3;
191;1;
192;4;
193;2;
194;4;
195;1;
196;2;
197;5;
198;1;
199;3;
200;2;
201;3;
202;6;
203;3;
204;9;
205;6;
206;0;
207;10;
208;3;
209;6;
210;1;
211;7;
212;7;
213;3;
214;4;
215;11;
216;9;
217;3;
218;4;
219;4;
220;3;
221;9;
222;14;
223;11;
224;5;
225;7;
226;1;
227;10;
228;2;
229;5;
230;2;
231;0;
232;3;
233;3;
234;0;
235;5;
236;4;
237;10;
238;0;
239;0;
240;6;
241;0;
242;0;
243;0;
244;1;
245;1;
246;1;
247;0;
248;0;
249;0;
250;0;
251;1;
252;1;
253;1;
254;0;
255;0;
256;0;
257;1;
258;3;
259;0;
260;0;
261;0;
262;0;
263;0;
264;0;
265;0;
266;0;
267;1;
268;0;
269;0;
270;0;
271;0;
272;0;
273;0;
274;0;
275;0;
276;0;
277;0;
278;0;
279;0;
280;0;
281;0;
282;0;
283;0;
284;0;
285;0;
286;0;
287;1;
288;0;
289;0;
290;2;
291;0;
292;0;
293;0;
294;0;
295;0;
296;0;
297;0;
298;0;
299;0;
300;0;
301;0;
302;0;
303;1;
304;0;
305;4;
306;0;
307;0;
308;0;
309;0;
310;0;
311;0;
312;0;
313;0;
314;0;
315;0;
316;0;
317;0;
318;0;
319;0;
320;2;
321;0;
322;1;
323;2;
324;0;
325;0;
326;0;
327;0;
328;0;
329;0;
330;1;
331;0;
332;0;
333;0;
334;0;
335;2;
336;0;
337;0;
338;0;
339;0;
340;0;
341;0;
342;1;
343;0;
344;0;
345;0;
346;1;
347;1;
348;0;
349;0;
350;0;
351;1;
352;0;
353;0;
354;0;
355;0;
356;0;
357;0;
358;0;
359;0;
360;0;
361;1;
362;0;
363;0;
364;0;
365;0;
366;1;
367;0;
368;0;
369;0;
370;0;
371;0;
372;0;
373;0;
374;0;
375;0;
376;0;
377;1;
378;1;
379;0;
380;0;
381;0;
382;0;
383;1;
384;0;
385;0;
386;0;
387;1;
388;0;
389;0;
390;0;
391;0;
392;0;
393;0;
394;0;
395;0;
396;0;
397;2;
398;1;
399;1;
400;0;
401;0;
402;0;
403;0;
404;0;
405;0;
406;1;
407;1;
408;2;
409;0;
410;0;
411;0;
412;0;
413;0;
414;1;
415;0;
416;0;
417;0;
418;0;
419;0;
420;0;
421;0;
422;0;
423;0;
424;1;
425;0;
426;0;
427;0;
428;0;
429;0;
430;0;
431;0;
432;1;
433;0;
434;0;
435;0;
436;0;
437;0;
438;1;
439;0;
440;0;
441;0;
442;0;
443;0;
444;0;
445;0;
446;0;
447;1;
