total error;
258;8;
259;21;
260;9;
261;10;
262;10;
263;8;
264;4;
265;7;
266;9;
267;10;
268;14;
269;12;
270;7;
271;6;
272;13;
273;9;
274;6;
275;12;
276;17;
277;8;
278;5;
279;10;
280;8;
281;7;
282;8;
283;13;
284;8;
285;3;
286;7;
287;5;
288;2;
289;9;
290;6;
291;4;
292;8;
293;2;
294;9;
295;10;
296;4;
297;3;
298;4;
299;6;
300;7;
301;6;
302;5;
303;7;
304;2;
305;3;
306;7;
307;4;
308;4;
309;8;
310;4;
311;9;
312;4;
313;4;
314;3;
315;3;
316;5;
317;1;
318;4;
319;5;
320;5;
321;3;
322;8;
323;5;
324;2;
325;7;
326;4;
327;6;
328;6;
329;2;
330;2;
331;1;
332;1;
333;1;
334;3;
335;4;
336;5;
337;5;
338;1;
339;3;
340;0;
341;3;
342;0;
343;3;
344;4;
345;4;
346;7;
347;5;
348;8;
349;3;
350;1;
351;2;
352;2;
353;3;
354;3;
355;10;
356;1;
357;2;
358;1;
359;0;
360;8;
361;2;
362;2;
363;3;
364;2;
365;2;
366;4;
367;0;
368;0;
369;2;
370;0;
371;1;
372;0;
373;4;
374;1;
375;0;
376;1;
377;1;
378;3;
379;3;
380;1;
381;1;
382;2;
383;2;
384;3;
385;1;
386;4;
387;2;
388;4;
389;2;
390;3;
391;2;
392;2;
393;1;
394;1;
395;1;
396;1;
397;1;
398;3;
399;4;
400;2;
401;4;
402;0;
403;1;
404;1;
405;0;
406;1;
407;2;
408;2;
409;0;
410;1;
411;1;
412;0;
413;0;
414;2;
415;0;
416;3;
417;2;
418;0;
419;0;
420;0;
421;0;
422;2;
423;1;
424;2;
425;3;
426;0;
427;2;
428;2;
429;0;
430;1;
431;1;
432;0;
433;1;
434;1;
435;1;
436;0;
437;1;
438;0;
439;2;
440;0;
441;3;
442;0;
443;0;
444;0;
445;0;
446;1;
447;0;
448;0;
449;2;
450;0;
451;2;
452;3;
453;0;
454;0;
455;0;
456;2;
457;0;
458;0;
459;0;
460;1;
461;0;
462;2;
463;0;
464;1;
465;1;
466;0;
467;1;
468;0;
469;2;
470;2;
471;0;
472;0;
473;0;
474;1;
475;2;
476;1;
477;1;
478;0;
479;1;
480;1;
481;1;
482;0;
483;2;
484;0;
485;2;
486;1;
487;0;
488;0;
489;0;
490;0;
491;1;
492;0;
493;0;
494;0;
495;0;
496;0;
497;1;
498;1;
499;1;
500;0;
501;0;
502;1;
503;0;
504;1;
505;0;
506;0;
507;0;
508;0;
509;0;
510;0;
511;2;
512;0;
513;1;
514;1;
515;0;
516;2;
517;1;
518;2;
519;0;
520;0;
521;1;
522;1;
523;4;
524;0;
525;1;
526;1;
527;0;
528;2;
529;0;
530;1;
531;0;
532;5;
533;0;
534;0;
535;1;
536;1;
537;1;
538;3;
539;0;
540;1;
541;1;
542;0;
543;0;
544;0;
545;6;
546;0;
547;0;
548;0;
549;2;
550;1;
551;1;
552;0;
553;2;
554;2;
555;2;
556;1;
557;1;
558;0;
559;0;
560;0;
561;0;
562;0;
563;5;
564;4;
565;0;
566;2;
567;0;
568;2;
569;0;
570;0;
571;4;
572;2;
573;5;
574;0;
575;0;
576;0;
577;0;
578;0;
579;0;
580;0;
581;0;
582;0;
583;4;
584;0;
585;0;
586;0;
587;2;
588;0;
589;2;
590;3;
591;1;
592;0;
593;0;
594;0;
595;2;
596;0;
597;0;
598;0;
599;0;
600;0;
601;0;
602;0;
603;0;
604;0;
605;0;
606;0;
607;0;
608;1;
609;0;
610;0;
611;1;
612;2;
613;0;
614;1;
615;0;
616;0;
617;1;
618;0;
619;7;
620;1;
621;0;
622;0;
623;0;
624;0;
625;0;
626;0;
627;0;
628;2;
629;0;
630;0;
631;1;
632;0;
633;1;
634;1;
635;0;
636;0;
637;0;
638;1;
639;0;
640;0;
641;0;
642;0;
643;2;
644;0;
645;0;
646;1;
647;0;
648;0;
649;0;
650;1;
651;0;
652;2;
653;0;
654;0;
655;0;
656;0;
657;0;
658;0;
659;0;
660;0;
661;0;
662;0;
663;0;
664;0;
665;1;
666;1;
667;1;
668;0;
669;0;
670;0;
671;0;
672;0;
673;0;
674;0;
675;1;
676;0;
677;0;
678;1;
679;0;
680;0;
681;0;
682;1;
683;1;
684;0;
685;2;
686;0;
687;0;
688;0;
689;0;
690;0;
691;0;
692;0;
693;0;
694;0;
695;0;
696;3;
697;0;
698;1;
699;0;
700;1;
701;0;
702;0;
703;1;
704;0;
705;0;
706;0;
707;0;
708;0;
709;0;
710;0;
711;0;
712;0;
713;0;
714;0;
715;0;
716;1;
717;2;
718;0;
719;0;
720;0;
721;0;
722;0;
723;0;
724;0;
725;0;
726;0;
727;0;
728;0;
729;2;
730;0;
731;0;
732;0;
733;0;
734;0;
735;0;
736;0;
737;1;
738;0;
739;0;
740;0;
741;0;
742;0;
743;0;
744;0;
745;2;
746;6;
747;0;
748;2;
749;0;
750;0;
751;0;
752;0;
753;1;
754;5;
755;0;
756;2;
757;0;
758;0;
759;0;
760;0;
761;0;
762;0;
763;0;
764;0;
765;1;
766;0;
767;0;
768;0;
769;0;
770;0;
771;0;
772;1;
773;5;
774;1;
775;0;
776;0;
777;0;
778;0;
779;4;
780;0;
781;0;
782;0;
783;0;
784;0;
785;0;
786;0;
787;0;
788;0;
789;0;
790;0;
791;1;
792;0;
793;0;
794;0;
795;0;
796;0;
797;0;
798;1;
799;0;
800;0;
801;0;
802;1;
803;3;
804;0;
805;0;
806;0;
807;0;
808;0;
809;0;
810;1;
811;4;
812;0;
813;1;
814;0;
815;0;
816;0;
817;0;
818;0;
819;1;
820;0;
821;2;
822;0;
823;0;
824;2;
825;1;
826;0;
827;1;
828;0;
829;0;
830;0;
831;1;
832;0;
833;0;
834;0;
835;0;
836;0;
837;0;
838;0;
839;0;
840;1;
841;0;
842;0;
843;0;
844;0;
845;1;
846;0;
847;0;
848;0;
849;0;
850;0;
851;0;
852;0;
853;0;
854;0;
855;0;
856;0;
857;0;
858;0;
859;0;
860;0;
861;1;
862;0;
863;0;
864;0;
865;0;
866;0;
867;0;
868;0;
869;0;
870;0;
871;0;
872;3;
873;0;
874;0;
875;2;
876;0;
877;0;
878;0;
879;0;
880;1;
881;0;
882;0;
883;4;
884;0;
885;0;
886;0;
887;0;
888;0;
889;0;
890;2;
891;0;
892;0;
893;0;
894;0;
895;1;
896;0;
897;1;
898;2;
899;1;
900;1;
901;1;
902;5;
903;0;
904;0;
905;1;
906;0;
907;0;
908;0;
909;0;
910;0;
911;0;
912;2;
913;1;
914;0;
915;0;
916;0;
917;0;
918;0;
919;0;
920;0;
921;1;
922;0;
923;0;
924;0;
925;1;
926;0;
927;0;
928;0;
929;1;
930;3;
931;0;
932;1;
933;0;
934;0;
935;0;
936;4;
937;0;
938;0;
939;0;
940;0;
941;0;
942;0;
943;0;
944;0;
945;1;
946;0;
947;1;
948;0;
949;2;
950;0;
951;1;
952;0;
953;0;
954;0;
955;0;
956;0;
957;4;
958;0;
959;0;
960;0;
961;0;
962;1;
963;0;
964;0;
965;0;
966;0;
967;1;
968;0;
969;0;
970;0;
971;0;
972;0;
973;0;
974;0;
975;0;
976;0;
977;0;
978;0;
979;0;
980;0;
981;0;
982;0;
983;0;
984;0;
985;0;
986;0;
987;0;
988;0;
989;0;
990;0;
991;0;
992;0;
993;0;
994;0;
995;0;
996;0;
997;1;
998;0;
999;0;
1000;0;
1001;2;
1002;0;
1003;0;
1004;0;
1005;0;
1006;0;
1007;0;
1008;0;
1009;0;
1010;0;
1011;0;
1012;0;
1013;0;
1014;0;
1015;0;
1016;0;
1017;0;
1018;1;
1019;1;
1020;0;
1021;0;
1022;1;
1023;0;
1024;0;
1025;0;
1026;0;
1027;0;
1028;1;
1029;0;
1030;0;
1031;0;
1032;0;
1033;0;
1034;0;
1035;0;
1036;2;
1037;0;
1038;0;
1039;0;
1040;0;
1041;4;
1042;0;
1043;0;
1044;0;
1045;1;
1046;0;
1047;0;
1048;0;
1049;0;
1050;0;
1051;1;
1052;0;
1053;0;
1054;1;
1055;0;
1056;0;
1057;0;
1058;0;
1059;0;
1060;0;
1061;1;
1062;1;
1063;0;
1064;0;
1065;0;
1066;0;
1067;0;
1068;0;
1069;0;
1070;0;
1071;0;
1072;0;
1073;1;
1074;1;
1075;0;
1076;0;
1077;0;
1078;0;
1079;0;
1080;0;
1081;0;
1082;2;
1083;0;
1084;0;
1085;1;
1086;0;
1087;0;
1088;0;
1089;0;
1090;0;
1091;0;
1092;0;
1093;0;
1094;0;
1095;0;
1096;0;
1097;0;
1098;2;
1099;1;
1100;0;
1101;0;
1102;0;
1103;0;
1104;0;
1105;0;
1106;0;
1107;0;
1108;1;
1109;0;
1110;0;
1111;0;
1112;0;
1113;1;
1114;0;
1115;0;
1116;0;
1117;0;
1118;0;
1119;0;
1120;0;
1121;0;
1122;2;
1123;0;
1124;0;
1125;0;
1126;0;
1127;0;
1128;0;
1129;0;
1130;0;
1131;0;
1132;0;
1133;0;
1134;0;
1135;0;
1136;0;
1137;0;
1138;0;
1139;0;
1140;0;
1141;0;
1142;0;
1143;0;
1144;0;
1145;0;
1146;0;
1147;0;
1148;0;
1149;0;
1150;0;
1151;0;
1152;0;
1153;0;
1154;0;
1155;0;
1156;0;
1157;0;
1158;0;
1159;0;
1160;0;
1161;0;
1162;0;
1163;0;
1164;0;
1165;0;
1166;0;
1167;0;
1168;0;
1169;0;
1170;0;
1171;0;
1172;0;
1173;0;
1174;0;
1175;0;
1176;0;
1177;0;
1178;0;
1179;0;
1180;0;
1181;0;
1182;0;
1183;0;
1184;0;
1185;0;
1186;0;
1187;0;
1188;0;
1189;0;
1190;0;
1191;0;
1192;0;
1193;0;
1194;0;
1195;0;
1196;0;
1197;0;
1198;0;
1199;0;
1200;0;
1201;0;
1202;0;
1203;0;
1204;0;
1205;0;
1206;0;
1207;0;
1208;0;
1209;0;
1210;0;
1211;0;
1212;0;
1213;0;
1214;0;
1215;0;
1216;0;
1217;0;
1218;0;
1219;0;
1220;0;
1221;0;
1222;0;
1223;0;
1224;0;
1225;0;
1226;0;
1227;0;
1228;0;
1229;0;
1230;0;
1231;0;
1232;0;
1233;0;
1234;0;
1235;0;
1236;0;
1237;0;
1238;2;
1239;0;
1240;0;
1241;0;
1242;0;
1243;0;
1244;0;
1245;0;
1246;0;
1247;0;
1248;0;
1249;0;
1250;0;
1251;0;
1252;0;
1253;0;
1254;0;
1255;0;
1256;0;
1257;0;
1258;0;
1259;0;
1260;0;
1261;0;
1262;0;
1263;0;
1264;0;
1265;0;
1266;0;
1267;0;
1268;0;
1269;1;
